runnum,totcharge(C),daqlvtm
13450,0.00319127,0.951153
13451,0.00172723,0.867062
13452,0.0095898,0.950296
13459,0.0292071,0.961898
13460,0.0287277,0.961705
13461,0.0291978,0.960982
13463,0.030612,0.963054
13464,0.0300583,0.96242
13465,0.0281927,0.960429
13466,0.0285182,0.95934
13482,0.00752672,0.982038
13483,0.0252414,0.982148
13484,0.0216758,0.982525
13485,0.0101412,0.981692
13486,0.0225405,0.982195
13487,0.0275672,0.98165
13488,0.0252415,0.981511
13489,0.0217904,0.981545
13490,0.0257141,0.982357
13537,0.0318802,0.969303
13538,0.0297049,0.968532
13539,0.0321627,0.9701
13540,0.0315247,0.968185
13541,0.0315946,0.968434
13542,0.0320255,0.968709
13543,0.0164379,0.969711
13573,0.0337481,0.979291
13574,0.0359635,0.979719
13575,0.0368658,0.979693
13576,0.0355275,0.979606
13577,0.036044,0.979382
13578,0.0362032,0.979822
13580,0.0304745,0.969127
